months:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
2022-08-04,1.781967695,2.081240459,2.345870038,2.563851643,2.723393247,2.828113947,2.888968128,2.916735346,2.923145259,2.916002996,2.900105829,2.878117246,2.852196755,2.823019756,2.790866969,2.756019114,2.718756912,2.679361082,2.638163935,2.595762095,2.552836609,2.510068562,2.468139037,2.427729119,2.389415552,2.353266463,2.319195229,2.287115194,2.256939696,2.228582079,2.201955683,2.17697385,2.153549922,2.131597239,2.111029143,2.091758976,2.073700512,2.056769444,2.040881992,2.025954377,2.011902818,1.998643535,1.986092751,1.974166684,1.962781554,1.951853584,1.941298992,1.931033998,1.920989079,1.911157641,1.901550454,1.892178287,1.88305191,1.874182094,1.865579608,1.857255223,1.849219707,1.841483832,1.834058366,1.826954081
2022-08-05,1.793070189,2.103615518,2.392516628,2.642494558,2.835019011,2.967423356,3.04775361,3.087876373,3.101617837,3.0987646,3.085020535,3.063407022,3.035112067,3.001137627,2.96253354,2.920349657,2.875635828,2.829441903,2.782738328,2.736127195,2.690103868,2.645163701,2.601802047,2.560514258,2.521700642,2.485341889,2.451302925,2.419448672,2.389644051,2.361753984,2.335643394,2.3111772,2.288220327,2.266637694,2.246294224,2.227054838,2.208796644,2.191450542,2.174962273,2.15927758,2.144342206,2.130101893,2.116502383,2.103489418,2.091008741,2.079006095,2.06742722,2.056217861,2.045332874,2.034767358,2.024527515,2.014619545,2.00504965,1.995824032,1.986948891,1.97843043,1.97027485,1.962488353,1.955077139,1.94804741
2022-08-08,1.802947939,2.118922549,2.398388723,2.633507653,2.813249663,2.937226894,3.013143632,3.053300595,3.069282145,3.070223585,3.060836991,3.043412556,3.018345957,2.986421147,2.948651547,2.906050573,2.859631647,2.810408186,2.75936211,2.707329223,2.655102989,2.603476868,2.553244322,2.505198811,2.459993782,2.417664543,2.378075866,2.341092517,2.306579263,2.274400869,2.244422104,2.216507732,2.190522521,2.166331238,2.143798648,2.122789519,2.103175655,2.08485994,2.067753831,2.051768784,2.036816255,2.022807703,2.009654584,1.997268354,1.985560471,1.974442391,1.963825571,1.953621468,1.943752456,1.934199711,1.924964119,1.916046581,1.907447997,1.899169269,1.891211296,1.88357498,1.876261221,1.86927092,1.862604977,1.856264293
2022-08-09,1.813443154,2.137529412,2.424240463,2.668993646,2.859702698,2.994257849,3.079073224,3.125897651,3.146467909,3.15026512,3.142509731,3.125980329,3.101763277,3.070809821,3.03413154,2.992740012,2.947646819,2.899863537,2.850356745,2.799884256,2.749143398,2.698831491,2.649645855,2.60228381,2.557323159,2.514814046,2.474661043,2.436768717,2.401041635,2.367384364,2.335701472,2.305897525,2.277877091,2.251544737,2.226805029,2.203562536,2.181723,2.161198493,2.141903212,2.123751352,2.10665711,2.090534683,2.075298267,2.06086206,2.047140257,2.034047057,2.021496654,2.009403246,1.997692308,1.986344288,1.975356364,1.964725716,1.954449523,1.944524966,1.934949226,1.925719482,1.916832915,1.908286705,1.900078032,1.892204077
2022-08-10,1.817942988,2.147717137,2.4242704,2.652755655,2.828941251,2.954188542,3.033655135,3.076374811,3.092185508,3.089489571,3.074165565,3.049693905,3.019202095,2.983901238,2.944474257,2.901604073,2.855973609,2.808265787,2.759164429,2.709358458,2.65953859,2.610395542,2.562620034,2.516902782,2.473835277,2.433474538,2.395698434,2.360384699,2.327411071,2.296655287,2.267995083,2.241308196,2.216472363,2.193365319,2.171864803,2.15184855,2.133197644,2.115809484,2.099586433,2.084430853,2.07024511,2.056931566,2.044392585,2.032530532,2.02124777,2.010446662,2.000029573,1.989898865,1.979972815,1.97023994,1.960708138,1.951385308,1.942279348,1.933398158,1.924749635,1.916341679,1.908182188,1.90027906,1.892640195,1.88527349
2022-08-11,1.825074318,2.159179655,2.440735673,2.67638047,2.861782227,2.996206653,3.08535108,3.135691109,3.157093545,3.157566239,3.143262818,3.118523886,3.087509635,3.051751916,3.012062681,2.969253883,2.924137473,2.877525405,2.830190237,2.782702698,2.73556905,2.689295531,2.644388373,2.601353814,2.56061653,2.522203633,2.486021275,2.451975577,2.419972663,2.389918654,2.361719674,2.335281845,2.310511289,2.287314129,2.265596487,2.245264486,2.226226094,2.208397427,2.19169685,2.176042725,2.161353418,2.147547292,2.134542711,2.12225804,2.110611643,2.099521883,2.088907125,2.078685733,2.068788375,2.059200041,2.049920707,2.04095035,2.032288947,2.023936474,2.015892908,2.008158227,2.000732406,1.993615423,1.986807255,1.980307877
2022-08-12,1.83686062,2.180616195,2.470698553,2.716341726,2.914400603,3.062293184,3.163785271,3.225131152,3.255581457,3.262988312,3.253216802,3.230831003,3.200059678,3.162875329,3.120533457,3.074289401,3.025398493,2.975116071,2.9245774,2.874360775,2.824883108,2.776561292,2.729812222,2.685052792,2.642622044,2.602515309,2.564633091,2.528875893,2.495144218,2.463338568,2.433359446,2.405107354,2.378482796,2.353386273,2.329718288,2.307379344,2.286274585,2.266329648,2.247475823,2.229644399,2.212766668,2.19677392,2.181597445,2.167168533,2.153418475,2.14027856,2.127680081,2.115554326,2.103842601,2.092530433,2.081615545,2.071095663,2.06096851,2.051231813,2.041883296,2.032920683,2.0243417,2.016144071,2.008325522,2.000883777
2022-08-15,1.852591575,2.208385559,2.497489173,2.736844035,2.929105193,3.072160058,3.168944416,3.226931076,3.254851691,3.261434708,3.252410582,3.231995487,3.203749447,3.169188809,3.1293145,3.085127443,3.037628564,2.987818787,2.936634557,2.884713211,2.832605416,2.780861834,2.730033124,2.680669946,2.633234046,2.587794626,2.544312587,2.502748832,2.46306426,2.425219773,2.389176269,2.35489465,2.322335816,2.291460668,2.262230105,2.234605028,2.208540778,2.183968143,2.160811141,2.138993789,2.118440103,2.0990741,2.080819798,2.063601213,2.047342361,2.03196726,2.017399926,2.003564377,1.990391825,1.977852249,1.965928622,1.954603924,1.943861136,1.933683242,1.924053221,1.914954055,1.906368725,1.898280214,1.890671502,1.883525571
2022-08-16,1.875264415,2.239865746,2.541631487,2.797815419,3.007321666,3.165634341,3.274897081,3.343434791,3.381557462,3.39847465,3.399928212,3.389478825,3.369177859,3.340357922,3.304243816,3.262060344,3.215032306,3.164384505,3.111271678,3.056523553,3.000875685,2.945063621,2.889822906,2.835889086,2.783883177,2.733920556,2.685977105,2.640028699,2.596051214,2.554020527,2.513912514,2.475703051,2.439368014,2.404883279,2.372224723,2.341368222,2.312282151,2.284894489,2.25911967,2.234872121,2.212066267,2.190616535,2.170437349,2.151443137,2.133548325,2.116667337,2.1007146,2.085604539,2.071259919,2.057644145,2.044732987,2.032502221,2.020927619,2.009984958,1.999650009,1.989898549,1.98070635,1.972049187,1.963902834,1.956243066
2022-08-17,1.953206103,2.373978067,2.731673777,3.035386831,3.281200096,3.468355366,3.600557386,3.685999857,3.735079755,3.756917377,3.758631887,3.744530946,3.718771361,3.683320576,3.639519076,3.588707349,3.532225883,3.471415164,3.407568847,3.341715321,3.274789689,3.207726954,3.141462114,3.076930171,3.014945725,2.955674865,2.899066304,2.845068593,2.793630287,2.744699937,2.698226098,2.654157322,2.612442162,2.573029172,2.535866904,2.500903911,2.468080811,2.437299533,2.408450238,2.381423082,2.356108223,2.332395817,2.310176022,2.289338995,2.269774892,2.251373872,2.23402609,2.217621704,2.202063792,2.187312473,2.173343603,2.16013304,2.147656641,2.135890263,2.124809763,2.114390998,2.104609826,2.095442103,2.086863686,2.078850433
