months:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
2014-03-20,0.418868908,0.418808149,0.41923717,0.420002907,0.421548537,0.424338359,0.428748661,0.435075338,0.443511368,0.454144959,0.466986713,0.481984648,0.49905827,0.518099962,0.538978915,0.56154799,0.585648526,0.611113537,0.637770428,0.66544943,0.693990926,0.723244029,0.753064679,0.783314222,0.813858958,0.844577232,0.875366154,0.906139193,0.936823356,0.967356933,0.997687677,1.027771324,1.057570384,1.087053145,1.116192851,1.144967005,1.173356832,1.201347126,1.228926153,1.256085251,1.282818456,1.309122179,1.334994934,1.360437094,1.385450689,1.410039222,1.434207515,1.45796157,1.48130842,1.50425568,1.526811126,1.548982641,1.570778207,1.592205896,1.613273862,1.63399033,1.654363595,1.674402015,1.694114,1.713508017
2014-03-21,0.418880699,0.419013203,0.419695278,0.420822424,0.42283609,0.426127744,0.43101659,0.437750054,0.446504033,0.457376432,0.470389769,0.485496776,0.502607818,0.52161289,0.542384561,0.56478286,0.588658964,0.613857658,0.640219452,0.667586935,0.695809883,0.724744183,0.754250509,0.78419332,0.814440838,0.844872831,0.87538728,0.90589798,0.936331805,0.966626536,0.996729098,1.026594131,1.056182823,1.085461945,1.114403056,1.142981834,1.171177567,1.198973181,1.226355303,1.253313855,1.279841644,1.305934025,1.331588604,1.356804978,1.38158452,1.405930179,1.42984632,1.453338569,1.476413663,1.499079014,1.521342306,1.543211434,1.564694485,1.585799721,1.606535562,1.626910573,1.646933448,1.666613004,1.685958167,1.704977963
2014-03-24,0.418276881,0.418082075,0.418145792,0.419020597,0.421096767,0.424743843,0.430155561,0.437359238,0.44637419,0.45726229,0.470085236,0.484890395,0.501692999,0.520450879,0.541070973,0.563424393,0.587356963,0.612696244,0.639257153,0.666854952,0.695315597,0.724474346,0.754173736,0.78426207,0.814593107,0.845034862,0.875477156,0.905828702,0.936013852,0.965969985,0.995645412,1.024997661,1.053992087,1.082600716,1.110801296,1.138576499,1.165913259,1.192802232,1.219237338,1.245215357,1.27073558,1.29579951,1.320410604,1.344574051,1.368296582,1.391586299,1.41445253,1.436905704,1.458957198,1.480618732,1.501901705,1.52281715,1.543375776,1.563587987,1.58346392,1.603013463,1.622246278,1.641171821,1.659799361,1.678137991
2014-03-25,0.418905785,0.41927021,0.41966489,0.420594611,0.422636807,0.426229774,0.431681315,0.439162372,0.448706465,0.460286807,0.473871551,0.489440207,0.506964559,0.526367873,0.547536277,0.570330385,0.594592798,0.620153111,0.646832135,0.67445379,0.702854647,0.73188208,0.761391919,0.791246688,0.821314659,0.851475707,0.881628747,0.911689663,0.941588381,0.971266533,1.000675566,1.029775207,1.058532214,1.086919335,1.114914457,1.142499891,1.169661787,1.196389816,1.222676942,1.248519039,1.273914534,1.298864106,1.323370421,1.347437908,1.371072563,1.394281778,1.417074194,1.439459567,1.461448622,1.483052458,1.504281951,1.525147716,1.545660135,1.565829371,1.585665396,1.605178002,1.62437682,1.643271335,1.661870892,1.680184717
2014-03-26,0.42109516,0.420796285,0.420495226,0.420914827,0.422756325,0.426441421,0.432173737,0.440018486,0.449908659,0.461733293,0.475412836,0.490929286,0.508273967,0.527388465,0.548175358,0.570510438,0.594250587,0.619239032,0.645309496,0.672296856,0.700047008,0.728415578,0.757265806,0.786466964,0.815893578,0.845431277,0.874983531,0.90446958,0.933821714,0.962983102,0.991906033,1.020550492,1.048882998,1.076875636,1.104505268,1.131752866,1.158602981,1.185043552,1.211065789,1.2366638,1.261834238,1.286575994,1.310889942,1.334778708,1.358246483,1.381298844,1.403942613,1.426185724,1.448037078,1.469506029,1.490601903,1.511333963,1.531711409,1.551743387,1.571438994,1.590807283,1.609857262,1.628597905,1.647038149,1.665186901
2014-03-27,0.420742024,0.420647439,0.420748984,0.42141161,0.423195831,0.426593286,0.431917562,0.439365824,0.449029782,0.460910983,0.474964214,0.491113497,0.509273189,0.529333167,0.551155932,0.574584311,0.59944724,0.625563626,0.652745681,0.680809913,0.709586717,0.738918383,0.76865651,0.798660065,0.828794485,0.858938593,0.888991858,0.91887184,0.94851107,0.977854557,1.006857774,1.035485021,1.063708092,1.091505167,1.118859907,1.145760687,1.172199941,1.19817342,1.223679536,1.248719012,1.273294598,1.297410833,1.32107383,1.344291107,1.367071421,1.389424642,1.411361626,1.432894122,1.454034626,1.474795785,1.495189815,1.515228495,1.534923204,1.55428496,1.573324449,1.592052061,1.61047791,1.628611862,1.646463553,1.664042411
2014-03-28,0.420060472,0.419951951,0.420156558,0.421087078,0.423353229,0.427457298,0.433654479,0.441984592,0.452386048,0.464810862,0.479256715,0.495728499,0.514185207,0.534528626,0.55662767,0.580329641,0.605466588,0.631859543,0.659322336,0.687674498,0.716751674,0.746403136,0.77648882,0.80687711,0.837443654,0.868076564,0.898681439,0.929179015,0.959502555,0.989595765,1.019411104,1.048908421,1.078053832,1.106818802,1.135179377,1.16311555,1.190610771,1.217652012,1.244229855,1.270338097,1.295973359,1.321134744,1.345823555,1.37004304,1.39379818,1.417095497,1.439942891,1.4623495,1.484325535,1.505881773,1.527029082,1.547778368,1.568140574,1.588126673,1.607747668,1.627014588,1.645938489,1.664530446,1.682801555,1.700762933
2014-03-31,0.419751579,0.420087175,0.420524279,0.42139239,0.423228379,0.426542076,0.431787421,0.43930952,0.449290269,0.461776095,0.476714708,0.493994946,0.513457958,0.534916045,0.558178186,0.583052579,0.609346871,0.63686831,0.665424625,0.694832397,0.724923339,0.755541617,0.786541142,0.817783544,0.849137327,0.880484739,0.911727704,0.942785124,0.973589948,1.004086839,1.034230275,1.063983022,1.093314878,1.122201636,1.150624226,1.17856801,1.206022185,1.232979432,1.259435621,1.285389424,1.310841979,1.335796593,1.360258488,1.384234589,1.407733329,1.430764488,1.453339049,1.475469075,1.497167565,1.518447885,1.539323109,1.559805965,1.57990887,1.599643955,1.619023095,1.63805793,1.656759884,1.675140187,1.693209891,1.71097988
2014-04-01,0.419526384,0.419500106,0.419803819,0.420664257,0.422583211,0.426091585,0.431660241,0.439565453,0.449859281,0.462486799,0.477341986,0.49430588,0.513263762,0.534084095,0.556621762,0.580722283,0.60622457,0.63296276,0.660767991,0.689474809,0.718925943,0.748970953,0.779464747,0.810266465,0.841239451,0.872259948,0.903224552,0.934047522,0.964657735,0.99499625,1.025014343,1.054671911,1.083936167,1.11278056,1.14118389,1.169129559,1.19660496,1.223601074,1.250112145,1.276135298,1.301670181,1.326718667,1.351284596,1.375373552,1.398992665,1.42215045,1.444856652,1.467122124,1.488958678,1.510378517,1.531393623,1.55201571,1.572256251,1.592126496,1.611637497,1.630800123,1.649625076,1.668122908,1.68630403,1.704178727
2014-04-02,0.419476688,0.420925858,0.421739246,0.4223965,0.424099099,0.427558572,0.433190382,0.441247867,0.451798991,0.46478646,0.480087651,0.497563541,0.517077563,0.53848446,0.561627544,0.586341835,0.612456501,0.639796482,0.668184341,0.697448955,0.727431998,0.757985762,0.788970848,0.820254435,0.851709464,0.88322063,0.914690687,0.946038203,0.977194838,1.008103158,1.038714878,1.068989431,1.098892802,1.12839656,1.157477062,1.186114791,1.214293821,1.24200172,1.269229518,1.295971314,1.322223908,1.347986477,1.373260298,1.398048508,1.422355902,1.446188747,1.469554632,1.492462322,1.514921618,1.536942864,1.558536468,1.579712848,1.600482429,1.620855645,1.640842937,1.660454751,1.679701542,1.698593767,1.717141891,1.735356382
